comment_text,target,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit,comment_text_clean,toxicity_score
Sample comment 0,0.24718270613672058,0.24718270613672058,0.03856510975233345,0.03855914767920226,0.004307179331379389,0.21410376370372305,0.059434094120837166,0.052506988776249035,sample comment 0,0.24718270613672058
Sample comment 1,0.10875451388100753,0.10875451388100753,0.03308771723513191,0.05706963062809619,0.01409279115772381,0.031672483570221836,0.026616705652887863,0.004551176101379344,sample comment 1,0.10875451388100753
Sample comment 2,0.14573199492754518,0.14573199492754518,0.02909885860866584,0.0749404105704615,0.02590012708332211,0.006769311310893088,0.03541548931022264,0.007455246218466136,sample comment 2,0.14573199492754518
Sample comment 3,0.12737506843430207,0.12737506843430207,0.01554462851495513,0.06307319281250928,0.0013140720691216157,0.11582474844349194,0.013184847146291834,0.02531664639265158,sample comment 3,0.12737506843430207
Sample comment 4,0.36325873186137747,0.36325873186137747,0.3522100823140393,0.2815737664382876,0.10238435822931412,0.32505384855122416,0.0868769552331437,0.10046365966505245,sample comment 4,0.36325873186137747
Sample comment 5,0.18149729038212117,0.18149729038212117,0.15041361234910353,0.06474976212969412,0.015296655684926812,0.0984978685942124,0.010230945992847948,0.043678973507873045,sample comment 5,0.18149729038212117
Sample comment 6,0.08984489226517751,0.08984489226517751,0.0635075219048387,0.06549757047318466,0.02078841036159747,0.006652533757861938,0.012882525904727417,0.0031230729509708157,sample comment 6,0.08984489226517751
Sample comment 7,0.1661763808077999,0.1661763808077999,0.05167791671791562,0.05403778755346214,0.036372994239368905,0.10594699314678187,0.05897352102715847,0.023541290168051645,sample comment 7,0.1661763808077999
Sample comment 8,0.26586261834278574,0.26586261834278574,0.20497135311907325,0.1312817901755743,0.041692535613968885,0.11366717458974503,0.0027031982368689107,0.00860528918315383,sample comment 8,0.26586261834278574
Sample comment 9,0.2059691049227926,0.2059691049227926,0.18693065429249237,0.05134649730200148,0.02535786099997438,0.1556201917291086,0.018850141341714585,0.004756644937342134,sample comment 9,0.2059691049227926
Sample comment 10,0.11490685054686317,0.11490685054686317,0.07278243078516494,0.10013679179418125,0.027704228168680102,0.02143817787293718,0.0410244573774983,0.01859223551562354,sample comment 10,0.11490685054686317
Sample comment 11,0.11864530630091329,0.11864530630091329,0.09705361246154408,0.10212164369301262,0.0002474512968951156,0.060597770156680525,0.019809542528783346,0.007905614761537495,sample comment 11,0.11864530630091329
Sample comment 12,0.18253040128137973,0.18253040128137973,0.0946950603678331,0.12832233267555462,0.019912037172024326,0.1773797735171119,0.0702703563831848,0.013787377047765234,sample comment 12,0.18253040128137973
Sample comment 13,0.027422677257304528,0.027422677257304528,0.0167158859982945,0.013784804618022154,0.000423505554341256,0.007641232057649644,0.009962832901873322,0.0019708285232730174,sample comment 13,0.027422677257304528
Sample comment 14,0.2500809710720517,0.2500809710720517,0.16808831038730715,0.19046657298892816,0.017828588329439014,0.18211305161139757,0.036790225189740844,0.04743829683880876,sample comment 14,0.2500809710720517
Sample comment 15,0.1412527135228449,0.1412527135228449,0.04531105462129218,0.026346245716218377,0.001727879816666555,0.08346523162683939,0.03828312187863886,0.0007029227542537274,sample comment 15,0.1412527135228449
Sample comment 16,0.0437263986081511,0.0437263986081511,0.030212218949682734,0.016910543908198652,0.012287948662713401,0.006013295620696984,0.00596544128714048,0.0014885365263709494,sample comment 16,0.0437263986081511
Sample comment 17,0.3839211503010403,0.3839211503010403,0.20334405930004928,0.09285220972544322,0.010723236513675445,0.3444601058616609,0.13827581450318946,0.07291831192008538,sample comment 17,0.3839211503010403
Sample comment 18,0.10331304890180816,0.10331304890180816,0.09164760313023221,0.08057132040651303,0.0198990740566939,0.008692756318129907,0.006679342097277281,0.027849711846066806,sample comment 18,0.10331304890180816
Sample comment 19,0.2616412623790562,0.2616412623790562,0.14357140135991672,0.18102833295832294,0.051173990087549956,0.058678105240140076,0.07453418820540103,0.01862224522528258,sample comment 19,0.2616412623790562
Sample comment 20,0.3944007973135488,0.3944007973135488,0.2593630490469243,0.22414136627565936,0.011083620935868373,0.14502740591143248,0.04183841010524538,0.0288689129654877,sample comment 20,0.3944007973135488
Sample comment 21,0.15353656883963657,0.15353656883963657,0.12203260042074358,0.07717317464690014,0.026572752898736618,0.07561947680175904,0.011990775374604313,0.03327684567845675,sample comment 21,0.15353656883963657
Sample comment 22,0.06498476776201823,0.06498476776201823,0.05945224993221626,0.02405467717119057,0.0003013333906545066,0.060326566198933916,0.011130178975111295,0.018845351676476586,sample comment 22,0.06498476776201823
Sample comment 23,0.15946733690915,0.15946733690915,0.027028556939448327,0.08879161451188577,0.04478583263106194,0.11099401808517509,0.03636245466778601,0.004648943001537918,sample comment 23,0.15946733690915
Sample comment 24,0.2616898226496414,0.2616898226496414,0.18240192564506008,0.18383293535278242,0.028222552682043944,0.0768299976569564,0.08472063089467244,0.06359952917390813,sample comment 24,0.2616898226496414
Sample comment 25,0.091568963407261,0.091568963407261,0.06427837929671991,0.07286990982736088,0.024449059973147867,0.030949866149569728,0.013756696658671231,0.0025817486430695816,sample comment 25,0.091568963407261
Sample comment 26,0.12377324985177898,0.12377324985177898,0.03546614199251574,0.0731293527811494,0.0011325345168743015,0.0046227066975679165,0.04072637788909655,0.013374589876100632,sample comment 26,0.12377324985177898
Sample comment 27,0.257354156438501,0.257354156438501,0.16030345295797532,0.02196452485763566,0.003990151726391057,0.13674632297691122,0.05565387826519816,0.04921357037662432,sample comment 27,0.257354156438501
Sample comment 28,0.021611675582274927,0.021611675582274927,0.009486907934180529,0.0016955738609282993,0.000164361612739308,0.02080444523781058,0.007226772463096356,0.004512350626718505,sample comment 28,0.021611675582274927
Sample comment 29,0.07477376002728997,0.07477376002728997,0.041067742827324304,0.053433024040454316,0.014809632065201396,0.02093171003374005,0.028559546941880228,0.01655259809216597,sample comment 29,0.07477376002728997
Sample comment 30,0.3619868928878475,0.3619868928878475,0.12885744389793438,0.2743303588141374,0.0015630762680705667,0.04201677448638672,0.006660941380034483,0.004422987780746207,sample comment 30,0.3619868928878475
Sample comment 31,0.1872369148968537,0.1872369148968537,0.0920486397711926,0.08865139365170341,0.00972893513289523,0.08123304432622998,0.029845918816141723,0.03459296171946656,sample comment 31,0.1872369148968537
Sample comment 32,0.12622777644701583,0.12622777644701583,0.06350977117043526,0.10811280820265963,0.024943629743720757,0.020566850437157308,0.0035630944284029548,0.024327347110404022,sample comment 32,0.12622777644701583
Sample comment 33,0.2091627677039946,0.2091627677039946,0.08119069610481147,0.13455194420077446,0.02875483286506835,0.11412271775908826,0.07876775403984403,0.024227488902066874,sample comment 33,0.2091627677039946
Sample comment 34,0.25309638386513106,0.25309638386513106,0.21383488602329703,0.005890042780279245,0.061841708314614025,0.07133642427026848,0.011962836228435102,0.05290249711743251,sample comment 34,0.25309638386513106
Sample comment 35,0.26728361462034184,0.26728361462034184,0.07538322000476191,0.047426682638028704,0.06018810720177563,0.21565370551261537,0.10589831786158997,0.03308578324234033,sample comment 35,0.26728361462034184
Sample comment 36,0.389569069407974,0.389569069407974,0.3344110569034202,0.1671228040260648,0.08775484293747161,0.29394656528558777,0.016069547846465693,0.10548200878398623,sample comment 36,0.389569069407974
Sample comment 37,0.34024932626003235,0.34024932626003235,0.13242560896857256,0.0036875036144125594,0.09241668224538928,0.031060230272999277,0.043458500022311525,0.09697738325829522,sample comment 37,0.34024932626003235
Sample comment 38,0.1598367457933394,0.1598367457933394,0.046865855579772416,0.05253267138957472,0.032247948451594406,0.12025709640311381,0.050609367354937256,0.03786299830909856,sample comment 38,0.1598367457933394
Sample comment 39,0.2327881911128257,0.2327881911128257,0.10278308673584743,0.20664705094759384,0.024506661301899876,0.02725181899315782,0.013314710003703984,0.05318120474120867,sample comment 39,0.2327881911128257
Sample comment 40,0.08877379036003667,0.08877379036003667,0.006459447872940931,0.0729596326087294,0.01880873982509886,0.0072216395987486194,0.003012546177929423,0.02627632053083349,sample comment 40,0.08877379036003667
