sample_id,message_velocity,burst_score,account_age_days,activity_ratio,reply_density,is_abusive
sample_0,2.7348844036696933,0.13912960494694657,183.40847145173788,0.9129702875459195,0.4772519423263452,0
sample_1,2.1944255681489437,0.3072949047757624,120.99095730326454,1.3715631605784608,0.3914635822136353,0
sample_2,1.240599254781731,0.26006156593335533,128.1207767169337,0.39784716414010357,0.1451262145371553,0
sample_3,2.069137932494036,0.12790325609727793,624.6065654324519,2.7152639945482435,0.36250949478437516,0
sample_4,3.616454786528855,0.22104587882345317,70.96014676155545,2.8067290485299634,0.09296839679607942,0
sample_5,3.573773320263661,0.4369096719243622,333.95781212762444,0.5339429811832377,0.3907597613732566,0
sample_6,1.2582202791322905,0.1573754504838182,55.907685961483836,3.47431972981474,0.08327518132846336,0
sample_7,4.766396411441351,0.7523492141755985,17.8399510678345,44.48845567334838,0.358297113620317,1
sample_8,1.9268497297503866,0.2331360186252339,470.8159809032607,3.896619604149082,0.20685166196598187,0
sample_9,1.2583978186061364,0.25021976755711234,179.62392764532743,1.9144261312937259,0.3524014830943078,0
sample_10,1.40555647416001,0.3054002983554547,54.89763792471619,1.7514285816116106,0.18142806799625133,0
sample_11,13.852668561534538,0.7383331488970538,4.9664901229900655,41.878881781322626,0.7365114408502385,1
sample_12,1.8236032925038441,0.0797332100357372,191.78533619932583,1.642913161347599,0.30100750205430993,0
sample_13,1.343259802200886,0.06334118841190446,124.51551831294786,1.4049452794024502,0.2163572806668789,0
sample_14,6.9823603037974085,0.786308657608575,1.232793554784904,10.341397888944716,0.3458511941714606,1
sample_15,12.234467156515915,0.5187464205403268,9.341153655628627,8.118801687346446,0.7753947819666699,1
sample_16,0.9043240072768097,0.29153771655461963,541.7890174961168,9.286664272061206,0.14214566266705925,0
sample_17,0.4501181633406923,0.46411842024138955,35.11632498312698,1.9248980403382145,0.051561516933948136,0
sample_18,5.047683891895076,0.06160634816884186,257.9437049942859,1.8671780151411979,0.012446334919921325,0
sample_19,1.1700048235818257,0.24045878623200462,130.58146232692314,0.04907777980851699,0.056668667498754016,0
