event_id,burst_score,is_coordinated
event_0,0.23469250746399178,0
event_1,0.38971394484420424,0
event_2,0.9307716025987586,1
event_3,0.1603822491514541,0
event_4,0.36422026999481916,0
event_5,0.3160560938703429,0
event_6,0.10790331741999126,0
event_7,0.14639758851564572,0
event_8,0.13959004515643253,0
event_9,0.6880575165363572,1
event_10,0.3478741937569182,0
event_11,0.22677948632963116,0
event_12,0.161707801917599,0
event_13,0.2065125059924446,0
event_14,0.045022269539009833,0
event_15,0.09413048945575385,0
event_16,0.19363387565378704,0
event_17,0.22997401146934804,0
event_18,0.2681146628078428,0
event_19,0.2823185911359479,0
event_20,0.14389587856702757,0
event_21,0.7416909017852593,1
event_22,0.22722257057811576,0
event_23,0.17684188570810813,0
event_24,0.687917625611016,1
event_25,0.056535382416450744,0
event_26,0.3419216507792241,0
event_27,0.24452961908788656,0
event_28,0.9708017041848022,1
event_29,0.3367136852449864,0
event_30,0.2787288333756821,0
event_31,0.8622644653091959,1
event_32,0.2770452525053288,0
event_33,0.2285643751449903,0
event_34,0.0502471352309664,0
event_35,0.22162558130712418,0
event_36,0.21194143355975723,0
event_37,0.8175108447513967,1
event_38,0.18387373789908076,0
event_39,0.06157089938085666,0
event_40,0.2628565008229377,0
event_41,0.1931621660016671,0
event_42,0.3829961491325119,0
event_43,0.19317278982037106,0
event_44,0.9113889213331943,1
event_45,0.13411767241482744,0
event_46,0.17498382823547207,0
event_47,0.004711148236653484,0
event_48,0.27089353077676703,0
event_49,0.32661090948917937,0
event_50,0.6133831457943414,1
event_51,0.30882855741617593,0
event_52,0.7653937426388662,1
event_53,0.020920915309335358,0
event_54,0.5514742868640533,1
event_55,0.12432427508651178,0
event_56,0.252814089681118,0
event_57,0.023895200206920802,0
event_58,0.03627450206065208,0
event_59,0.4141578331285658,0
event_60,0.8988502246570036,1
event_61,0.23247694011412834,0
event_62,0.6844005592791158,1
event_63,0.1647191552172994,0
event_64,0.16162109414312556,0
event_65,0.34862156429475544,0
event_66,0.09266819340214538,0
event_67,0.6217548610212847,1
event_68,0.052858925294109446,0
event_69,0.06708482312268521,0
event_70,0.271967414842954,0
event_71,0.07804776549295366,0
event_72,0.40377300328122684,0
event_73,0.15855422482575102,0
event_74,0.26156760112083777,0
event_75,0.40947449708663103,0
event_76,0.8526574941998213,1
event_77,0.86735955233602,1
event_78,0.38806196393594483,0
event_79,0.21169688704374837,0
event_80,0.2203961060215578,0
event_81,0.1320075696235827,0
event_82,0.1847031268377193,0
event_83,0.13359630644877507,0
event_84,0.19002717547588593,0
event_85,0.32593852055274963,0
event_86,0.15397105184048346,0
event_87,0.8703150822882668,1
event_88,0.14690711919585506,0
event_89,0.13151246160128582,0
event_90,0.31743984505127426,0
event_91,0.1583870895574971,0
event_92,0.3403197408174395,0
event_93,0.2513312289995634,0
event_94,0.15559847381142675,0
event_95,0.07622135095157932,0
event_96,0.7910556146920197,1
event_97,0.19486773423390266,0
event_98,0.3295349944845526,0
event_99,0.22374888699329482,0
event_100,0.1436247145824766,0
event_101,0.780162537690079,1
event_102,0.9393944717605701,1
event_103,0.07797125119154899,0
event_104,0.15336617200317243,0
event_105,0.4618634599996235,0
event_106,0.2771713087634604,0
event_107,0.20840533759792088,0
event_108,0.6976196486076172,0
event_109,0.22528770746467514,0
event_110,0.2516331054441736,0
event_111,0.06061391653502849,0
event_112,0.663319771409054,1
event_113,0.09771932670878195,0
event_114,0.16650115520995398,0
event_115,0.3506337779618233,0
event_116,0.42863807000676696,0
event_117,0.32072718973239916,0
event_118,0.20999254845598256,0
event_119,0.17879688769231572,0
event_120,0.39323828041819703,0
event_121,0.5979133311124374,0
event_122,0.21141276321296398,0
event_123,0.062208571866240285,0
event_124,0.9715648877439779,1
event_125,0.8521103160441551,1
event_126,0.08408391763851325,0
event_127,0.2583703725722678,0
event_128,0.33618387037329883,0
event_129,0.8200688847054188,1
event_130,0.2985734760698514,0
event_131,0.05337884790115255,0
event_132,0.23212895732674235,0
event_133,0.16737741450387345,0
event_134,0.3445428709496986,0
event_135,0.2062515266202303,0
event_136,0.13030960420116064,0
event_137,0.17964019971493728,0
